OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
IRIDIUM 33 DEB,1997-051RA,2024-01-18T02:47:07.197792,14.52082510,.0016293,86.3625,314.7986,156.0809,204.1157,0,U,35628,999,76312,.20401E-2,.829E-4,0
IRIDIUM 33 DEB,1997-051RD,2024-01-22T06:50:23.884224,14.44115147,.0016091,86.3706,317.4308,257.7517,255.4750,0,U,35631,999,77220,.68842E-3,.238E-4,0
IRIDIUM 33 DEB,1997-051RE,2024-01-22T21:01:13.406304,14.45233513,.0093422,86.4200,71.7645,324.7224,34.7817,0,U,35632,999,75784,.33382E-2,.12377E-3,0
IRIDIUM 33 DEB,1997-051RX,2024-01-21T09:58:53.982912,14.56896256,.0031118,86.3334,274.0238,46.7146,313.6650,0,U,35744,999,77216,.15111E-2,.6843E-4,0
IRIDIUM 33 DEB,1997-051SC,2024-01-22T04:52:32.789856,14.77152214,.0010916,86.3692,297.6584,175.5468,184.5851,0,U,35749,999,75835,.20698E-2,.1469E-3,0
IRIDIUM 33 DEB,1997-051SF,2024-01-18T00:03:07.988256,14.59825089,.002288,86.3430,282.7383,51.7452,308.5812,0,U,35797,999,77297,.2068E-2,.9945E-4,0
IRIDIUM 33 DEB,1997-051SP,2024-01-21T16:53:31.435584,14.55294843,.006533,86.3151,1.9139,269.9520,89.4201,0,U,35805,999,75479,.75177E-2,.33667E-3,0
IRIDIUM 33 DEB,1997-051SQ,2024-01-14T13:57:02.617056,14.45539045,.0013322,86.3495,324.9930,247.0709,112.9088,0,U,35806,999,76196,.24333E-2,.8615E-4,0
IRIDIUM 33 DEB,1997-051ST,2024-01-14T12:31:42.254112,14.56172592,.0020505,86.3426,287.9201,109.1866,13.0971,0,U,35809,999,76579,.23633E-2,.10491E-3,0
IRIDIUM 33 DEB,1997-051SW,2024-01-21T08:01:34.668192,14.38116062,.0016489,86.3797,352.5380,299.7197,60.2360,0,U,35846,999,61373,.15319E-2,.4668E-4,0
IRIDIUM 33 DEB,1997-051SY,2024-01-22T13:50:19.873824,14.57815690,.0015347,86.4011,320.9626,66.7682,293.5141,0,U,35848,999,56565,.22798E-2,.10473E-3,0
IRIDIUM 33 DEB,1997-051TA,2024-01-21T01:19:47.446464,14.58304657,.0019149,86.3570,293.3202,67.7460,292.5778,0,U,35850,999,61207,.20637E-2,.9591E-4,0
IRIDIUM 33 DEB,1997-051TH,2024-01-22T11:33:47.120832,15.31211768,.0024891,86.4151,294.6963,94.0107,266.3988,0,U,35857,999,60963,.52187E-2,.161808E-2,0
IRIDIUM 33 DEB,1997-051TU,2024-01-22T11:50:05.352864,14.45388088,.0070427,86.2277,299.8124,244.6225,114.7674,0,U,35911,999,76914,.47302E-2,.17196E-3,0
IRIDIUM 33 DEB,1997-051UB,2024-01-21T18:01:57.080640,14.41648096,.0027337,86.4049,9.9127,315.7781,164.2948,0,U,35918,999,75472,.1811E-2,.5942E-4,0
IRIDIUM 33 DEB,1997-051UE,2024-01-16T22:01:55.223328,14.49974375,.0092191,86.4044,84.7910,88.6571,272.5193,0,U,35921,999,55225,.77628E-2,.31856E-3,0
IRIDIUM 33 DEB,1997-051UK,2024-01-21T14:30:33.582240,15.05829640,.0002388,86.3272,254.6633,126.1522,233.9934,0,U,35926,999,77242,.73134E-2,.107557E-2,0
IRIDIUM 33 DEB,1997-051UN,2024-01-17T23:16:58.829376,14.66158818,.002488,86.3459,270.8813,317.4650,42.4635,0,U,35929,999,77489,.23653E-2,.13096E-3,0
IRIDIUM 33 DEB,1997-051US,2024-01-13T03:58:51.079008,14.37140890,.0019758,86.3437,334.7594,12.9690,45.5094,0,U,36011,999,54477,.11398E-2,.3413E-4,0
IRIDIUM 33 DEB,1997-051UT,2024-01-22T12:21:07.939872,13.98204048,.0291011,86.4485,220.8027,264.0050,92.7896,0,U,36012,999,55765,.45116E-2,.9245E-4,0
IRIDIUM 33 DEB,1997-051VA,2024-01-22T18:42:02.028096,14.76365472,.0007141,86.3863,301.1583,23.3900,30.8023,0,U,36019,999,76332,.43166E-2,.30101E-3,0
IRIDIUM 33 DEB,1997-051VC,2024-01-21T01:13:51.798144,14.83011463,.0056668,86.3991,48.5426,175.7730,184.3984,0,U,36021,999,48553,.10963E-1,.92725E-3,0
IRIDIUM 33 DEB,1997-051VK,2024-01-14T23:57:21.364416,14.64559311,.0028324,86.3295,265.6676,337.2086,22.7866,0,U,36028,999,76814,.25446E-2,.13612E-3,0
IRIDIUM 33 DEB,1997-051VM,2024-01-19T12:52:53.251680,14.40971265,.0016574,86.3229,308.5040,305.5115,54.4537,0,U,36080,999,37411,.13639E-2,.4405E-4,0
IRIDIUM 33 DEB,1997-051VQ,2024-01-15T03:46:31.437120,14.38305531,.0029456,86.3442,333.1714,12.2489,347.9418,0,U,36083,999,75404,.15623E-2,.4796E-4,0
IRIDIUM 33 DEB,1997-051VU,2023-12-26T11:27:36.301536,14.57539489,.0045278,86.2919,263.4119,108.2331,252.3813,0,U,36390,999,77826,.15889E-2,.7351E-4,0
